EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
5631590,COLLIN CO.,MC KINNEY,1/4/1998,1640,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072601,C,85,FWD,0,0, , ,NA,NA,NA, ,NA, ,MC KINNEY,NA,NA,NA,NA,1
5631591,COLLIN CO.,MC KINNEY,1/4/1998,1645,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072601,C,85,FWD,0,0, , ,NA,NA,NA, ,NA, ,MC KINNEY,NA,NA,NA,NA,2
5631592,COLLIN CO.,BLUE RIDGE,1/4/1998,1650,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072601,C,85,FWD,0,0, , ,NA,NA,NA, ,NA, ,BLUE RIDGE,NA,NA,NA,NA,3
5631593,COLLIN CO.,PRINCETON,1/4/1998,1752,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072601,C,85,FWD,0,0, , ,NA,NA,NA, ,NA, ,PRINCETON,NA,NA,NA,NA,4
5631594,COLLIN CO.,PROSPER,1/4/1998,2109,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072601,C,85,FWD,0,0, , ,NA,NA,NA, ,NA, ,PROSPER,NA,NA,NA,NA,6
5673643,COLLIN CO.,NEVADA,12/4/1998,100,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2151538,C,85,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,1,S,1,S,NEVADA,NA,NA,NA,NA,26
5673644,COLLIN CO.,CENTRAL PORTION,12/4/1998,100,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2151538,C,85,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,CENTRAL PORTION,NA,NA,NA,NA,27
5694125,COLLIN CO.,LAVON,5/17/1999,1533,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2406299,C,85,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,LAVON,NA,NA,NA,NA,33
5705332,COLLIN CO.,PLANO,6/8/1999,1900,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2409538,C,85,FWD,0,0,EMERGENCY MANAGER, ,NA,NA,NA, ,NA, ,PLANO,NA,NA,NA,NA,41
5149053,COLLIN CO.,FARMERSVILLE,6/4/2000,215,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,1096865,C,85,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,FARMERSVILLE,NA,NA,NA,NA,59
