EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
5630410,DALLAS CO.,IRVING,1/4/1998,2100,Flash Flood,NA,NA,1,0,0,0,TX,CST,NA,2072639,C,113,FWD,0,0, , ,NA,NA,NA, ,NA, ,IRVING,NA,NA,NA,NA,5
5630411,DALLAS CO.,DALLAS,1/4/1998,2141,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072639,C,113,FWD,0,0, , ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,7
5630412,DALLAS CO.,DALLAS,1/4/1998,2323,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2072639,C,113,FWD,0,0, , ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,10
5644447,DALLAS CO.,DALLAS,5/27/1998,225,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2077507,C,113,FWD,0,0, , ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,18
5667699,DALLAS CO.,MESQUITE,9/16/1998,620,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2149761,C,113,FWD,0,0,BROADCAST MEDIA, ,NA,NA,NA, ,NA, ,MESQUITE,NA,NA,NA,NA,20
5667700,DALLAS CO.,GARLAND,9/16/1998,650,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2149761,C,113,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,GARLAND,NA,NA,NA,NA,21
5673552,DALLAS CO.,GARLAND,12/4/1998,15,Flash Flood,NA,NA,1,0,0,0,TX,CST,NA,2151538,C,113,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,GARLAND,NA,NA,NA,NA,24
5673553,DALLAS CO.,GARLAND,12/4/1998,30,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2151538,C,113,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,GARLAND,NA,NA,NA,NA,25
5687799,DALLAS CO.,DALLAS,3/11/1999,950,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,1500293,C,113,FWD,0,0,EMERGENCY MANAGER, ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,31
5691281,DALLAS CO.,DALLAS,4/26/1999,745,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,1503205,C,113,FWD,0,0,AMATEUR RADIO, ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,32
5693529,DALLAS CO.,GRAND PRAIRIE,5/17/1999,1613,Flash Flood,NA,NA,0,1,10000,0,TX,CST,NA,2406299,C,113,FWD,0,0,NEWSPAPER, ,NA,NA,NA, ,NA, ,GRAND PRAIRIE,NA,NA,NA,NA,34
5694038,DALLAS CO.,WILMER,5/17/1999,1635,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2406299,C,113,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,WILMER,NA,NA,NA,NA,36
5693530,DALLAS CO.,ROWLETT,5/17/1999,1700,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2406299,C,113,FWD,0,0,NEWSPAPER, ,NA,NA,NA, ,NA, ,ROWLETT,NA,NA,NA,NA,37
5694482,DALLAS CO.,DALLAS,5/26/1999,538,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2406299,C,113,FWD,0,0,EMERGENCY MANAGER, ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,38
5694483,DALLAS CO.,DALLAS,5/26/1999,1130,Flash Flood,NA,NA,0,0,0,0,TX,CST,NA,2406299,C,113,FWD,0,0,LAW ENFORCEMENT, ,NA,NA,NA, ,NA, ,DALLAS,NA,NA,NA,NA,39
