,CZ_NAME_STR,BEGIN_DATE,EVENT_TYPE,DAMAGE_PROPERTY_NUM
0,DALLAS CO.,1998-01-04,Flash Flood,0
3,DALLAS CO.,1998-05-27,Flash Flood,0
4,DALLAS CO.,1998-09-16,Flash Flood,0
6,DALLAS CO.,1998-12-04,Flash Flood,0
8,DALLAS CO.,1999-03-11,Flash Flood,0
9,DALLAS CO.,1999-04-26,Flash Flood,0
10,DALLAS CO.,1999-05-17,Flash Flood,10000
11,DALLAS CO.,1999-05-17,Flash Flood,0
13,DALLAS CO.,1999-05-26,Flash Flood,0
15,DALLAS CO.,1999-06-08,Flash Flood,0
16,DALLAS CO.,1999-06-10,Flash Flood,0
17,DALLAS CO.,1999-06-12,Flash Flood,0
18,DALLAS CO.,1999-07-10,Flash Flood,0
20,DALLAS CO.,1999-12-11,Flash Flood,0
21,DALLAS CO.,1999-12-12,Flash Flood,0
22,DALLAS CO.,2000-03-28,Flash Flood,0
23,DALLAS CO.,2000-05-03,Flash Flood,15000
24,DALLAS CO.,2000-06-04,Flash Flood,25000
26,DALLAS CO.,2000-06-11,Flash Flood,0
29,DALLAS CO.,2000-06-14,Flash Flood,0
30,DALLAS CO.,2000-06-21,Flash Flood,0
31,DALLAS CO.,2001-02-16,Flash Flood,0
33,DALLAS CO.,2001-02-27,Flash Flood,0
34,DALLAS CO.,2001-03-11,Flash Flood,0
35,DALLAS CO.,2001-03-12,Flash Flood,0
36,DALLAS CO.,2001-05-06,Flash Flood,0
37,DALLAS CO.,2001-06-30,Flash Flood,0
39,DALLAS CO.,2001-07-01,Flash Flood,0
40,DALLAS CO.,2001-08-31,Flash Flood,0
42,DALLAS CO.,2001-12-16,Flash Flood,0
43,DALLAS CO.,2002-03-19,Flash Flood,0
44,DALLAS CO.,2002-03-30,Flash Flood,0
47,DALLAS CO.,2002-04-07,Flash Flood,0
48,DALLAS CO.,2002-10-18,Flash Flood,0
50,DALLAS CO.,2002-12-30,Flash Flood,0
51,DALLAS CO.,2003-05-25,Flash Flood,25000
52,DALLAS CO.,2003-09-18,Flash Flood,0
53,DALLAS CO.,2004-06-09,Flash Flood,0
54,DALLAS CO.,2004-06-28,Flash Flood,0
55,DALLAS CO.,2004-07-28,Flash Flood,3000000
56,DALLAS CO.,2004-07-28,Flash Flood,17000000
57,DALLAS CO.,2005-01-03,Flash Flood,0
58,DALLAS CO.,2005-01-12,Flash Flood,0
60,DALLAS CO.,2005-07-15,Flash Flood,0
61,DALLAS CO.,2005-08-08,Flash Flood,0
62,DALLAS CO.,2006-03-19,Flash Flood,300000
63,DALLAS CO.,2006-10-16,Flash Flood,0
64,DALLAS CO.,2007-03-13,Flash Flood,10000
65,DALLAS CO.,2007-03-30,Flash Flood,0
66,DALLAS CO.,2007-04-03,Flash Flood,0
67,DALLAS CO.,2007-05-24,Flash Flood,0
68,DALLAS CO.,2007-05-30,Flash Flood,3000
69,DALLAS CO.,2007-06-13,Flash Flood,0
70,DALLAS CO.,2007-06-26,Flash Flood,0
71,DALLAS CO.,2007-06-26,Flash Flood,1000
72,DALLAS CO.,2007-06-27,Flash Flood,0
73,DALLAS CO.,2007-07-02,Flood,0
74,DALLAS CO.,2007-07-03,Flash Flood,10000
75,DALLAS CO.,2007-08-01,Flash Flood,0
76,DALLAS CO.,2007-09-05,Flash Flood,25000
77,DALLAS CO.,2007-09-05,Flood,0
78,DALLAS CO.,2007-09-09,Flash Flood,25000
79,DALLAS CO.,2007-09-10,Flash Flood,0
80,DALLAS CO.,2007-10-15,Flash Flood,20000
81,DALLAS CO.,2008-03-18,Flash Flood,150000
82,DALLAS CO.,2008-03-18,Flash Flood,15000
83,DALLAS CO.,2008-04-17,Flash Flood,0
85,DALLAS CO.,2008-08-20,Flash Flood,0
86,DALLAS CO.,2008-08-20,Flood,0
87,DALLAS CO.,2009-05-02,Flash Flood,2000
88,DALLAS CO.,2009-05-02,Flash Flood,7000
89,DALLAS CO.,2009-05-02,Flash Flood,5000
91,DALLAS CO.,2009-06-11,Flash Flood,50000
92,DALLAS CO.,2009-06-11,Flash Flood,750000
93,DALLAS CO.,2009-06-11,Flash Flood,200000
94,DALLAS CO.,2009-06-11,Flash Flood,20000
95,DALLAS CO.,2009-06-11,Flash Flood,70000
96,DALLAS CO.,2009-06-11,Flash Flood,10000
97,DALLAS CO.,2009-06-11,Flash Flood,15000
98,DALLAS CO.,2009-06-11,Flash Flood,30000
101,DALLAS CO.,2009-06-11,Flash Flood,7000
102,DALLAS CO.,2009-06-11,Flash Flood,75000
103,DALLAS CO.,2009-07-30,Flash Flood,20000
104,DALLAS CO.,2009-09-11,Flash Flood,30000
105,DALLAS CO.,2009-09-11,Flash Flood,500
106,DALLAS CO.,2009-09-13,Flash Flood,150000
107,DALLAS CO.,2009-09-13,Flood,0
108,DALLAS CO.,2009-10-09,Flash Flood,0
109,DALLAS CO.,2009-10-09,Flash Flood,500
110,DALLAS CO.,2010-09-08,Flash Flood,250000
111,DALLAS CO.,2010-09-08,Flood,0
112,DALLAS CO.,2011-05-23,Flood,0
113,DALLAS CO.,2012-01-25,Flood,50000
114,DALLAS CO.,2012-03-19,Flash Flood,50000
115,DALLAS CO.,2012-03-20,Flood,0
116,DALLAS CO.,2012-04-08,Flash Flood,20000
117,DALLAS CO.,2012-08-18,Flash Flood,200000
118,DALLAS CO.,2012-08-18,Flash Flood,60000
119,DALLAS CO.,2012-08-18,Flash Flood,50000
121,DALLAS CO.,2012-08-18,Flash Flood,30000
122,DALLAS CO.,2012-08-18,Flood,100000
123,DALLAS CO.,2014-05-08,Flash Flood,25000
124,DALLAS CO.,2015-05-17,Flash Flood,0
125,DALLAS CO.,2015-05-24,Flood,36000000
126,DALLAS CO.,2015-05-24,Flash Flood,0
128,DALLAS CO.,2015-05-26,Flash Flood,0
131,DALLAS CO.,2015-05-29,Flash Flood,0
134,DALLAS CO.,2015-05-29,Flash Flood,1000
138,DALLAS CO.,2015-05-29,Flash Flood,25000
140,DALLAS CO.,2015-05-29,Flash Flood,125000
141,DALLAS CO.,2015-05-29,Flash Flood,90000
142,DALLAS CO.,2015-05-29,Flash Flood,20000
147,DALLAS CO.,2015-05-29,Flood,0
148,DALLAS CO.,2015-05-30,Flash Flood,0
151,DALLAS CO.,2015-06-09,Flash Flood,30000
152,DALLAS CO.,2015-10-23,Flash Flood,100000
153,DALLAS CO.,2015-10-30,Flash Flood,1000
155,DALLAS CO.,2015-10-30,Flash Flood,2000
156,DALLAS CO.,2015-10-31,Flash Flood,1000
157,DALLAS CO.,2015-10-31,Flash Flood,10000
158,DALLAS CO.,2015-11-27,Flash Flood,0
159,DALLAS CO.,2015-11-27,Flood,50000
160,DALLAS CO.,2015-12-26,Flash Flood,50000
161,DALLAS CO.,2016-07-05,Flood,15000
162,DALLAS CO.,2016-08-19,Flash Flood,0
163,DALLAS CO.,2016-09-26,Flood,0
164,DALLAS CO.,2016-11-07,Flash Flood,0
