EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
311848,DALLAS CO.,FARMERS BRANCH,05/23/2011,1117,Flood, , ,0,0,0,0,TX,CST-6, ,51398,C,113,FWD,0,0,Broadcast Media,Heavy Rain, , ,3,SE,3,SE,FARMERS BRANCH,32.9027,-96.8568,32.902,-96.8568,1
361716,DALLAS CO.,COPPELL,01/25/2012,430,Flood, , ,0,0,50000,0,TX,CST-6, ,59797,C,113,FWD,0,0,Newspaper,Heavy Rain, , ,2,NNW,6,WSW,CEDAR HILL,32.9842,-97.0282,32.5486,-97.0378,2
370886,DALLAS CO.,REINHARDT,03/19/2012,2025,Flash Flood, , ,0,0,50000,0,TX,CST-6, ,61314,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,3,NNW,3,SSE,FARMERS BRANCH,32.8583,-96.703,32.8959,-96.8747,3
371769,DALLAS CO.,BOBWYN,03/20/2012,245,Flood, , ,0,0,0,0,TX,CST-6, ,61314,C,113,FWD,0,0,Newspaper,Heavy Rain, , ,0,NE,2,W,DUNCANVILLE,32.6535,-96.5753,32.6512,-96.9269,4
368077,DALLAS CO.,(RBD)REDBIRD ARPT DA,04/08/2012,1345,Flash Flood, , ,0,0,20000,0,TX,CST-6, ,61334,C,113,FWD,0,0,Fire Department/Rescue,Heavy Rain, , ,1,SSW,3,N,WHEATLAND AREA,32.6647,-96.8767,32.6738,-96.8177,5
406705,DALLAS CO.,MEADERS,08/18/2012,1639,Flash Flood, , ,0,0,200000,0,TX,CST-6, ,66106,C,113,FWD,0,0,Public,Heavy Rain, , ,1,SSE,1,SSE,ALPHA,32.8617,-96.792,32.9229,-96.7957,6
406706,DALLAS CO.,DALLAS,08/18/2012,1700,Flash Flood, , ,0,0,50000,0,TX,CST-6, ,66106,C,113,FWD,0,0,Public,Heavy Rain, , ,0,N,1,SSW,HIGHLAND PARK,32.77,-96.78,32.8014,-96.7813,7
408252,DALLAS CO.,IRVING,08/18/2012,1700,Flash Flood, , ,0,0,60000,0,TX,CST-6, ,66106,C,113,FWD,0,0,Newspaper,Heavy Rain, , ,1,SSE,2,SSE,IRVING,32.8081,-96.9148,32.799,-96.9089,8
406707,DALLAS CO.,DALLAS,08/18/2012,1712,Flash Flood, , ,0,0,200000,0,TX,CST-6, ,66106,C,113,FWD,0,0,Public,Heavy Rain, , ,2,NNW,1,N,DALLAS,32.7907,-96.7879,32.7853,-96.7811,9
407265,DALLAS CO.,GRIBBLE,08/18/2012,1728,Flash Flood, , ,1,0,30000,0,TX,CST-6, ,66106,C,113,FWD,0,0,Public,Heavy Rain, , ,3,WNW,1,NW,ARCADIA PARK,32.8952,-96.9674,32.7666,-96.9132,10
